Senior Citizen,Partner,Tenure,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Monthly Charges,Total Charges,Churn,Age,Married,Number of Dependents,CLTV,Population,Internet Service_Fiber optic,Internet Service_No,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
0,1,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,36,1,0,3964,54492,False,False,False,False,False,True,False
0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,46,0,0,3441,44586,False,False,True,False,False,False,True
0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,37,0,0,3239,58198,False,False,False,False,False,False,True
0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,53,0,0,4307,67852,False,False,True,False,False,False,False
0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,19,0,2,2701,43019,True,False,False,False,False,True,False
0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,31,0,2,5372,62784,True,False,False,False,False,True,False
0,0,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,42,0,3,4459,45025,True,False,False,False,True,False,False
0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,42,0,0,2013,30852,False,False,False,False,False,False,True
0,1,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,23,1,3,5003,1957,True,False,False,False,False,True,False
0,0,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,48,0,0,4529,101215,False,False,True,False,False,False,False
0,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,37,1,2,5764,30596,False,False,False,False,False,False,True
0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,21,0,0,4726,9732,False,True,False,True,True,False,False
0,1,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,39,1,0,6432,3524,True,False,True,False,True,False,False
0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,38,0,1,5340,15140,True,False,False,False,False,False,False
0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,27,0,0,5822,46984,True,False,False,False,False,True,False
0,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0,48,1,0,5141,20692,True,False,False,True,True,False,False
0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,57,0,0,5186,47143,False,True,True,False,False,False,True
0,0,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0,61,0,0,4479,67520,True,False,False,True,False,False,False
0,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,21,1,0,5925,4258,False,False,False,False,True,False,False
0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,30,0,0,5982,3012,True,False,False,False,False,True,False
1,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,78,0,0,5433,68701,False,False,False,False,False,True,False
0,1,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,45,1,0,5279,47487,False,True,True,False,False,False,False
0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,29,0,0,4832,44150,False,True,False,False,False,False,True
0,1,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0,25,1,0,6407,41175,False,False,False,True,True,False,False
0,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,42,1,2,4986,73686,False,False,False,False,True,False,False
0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,25,0,0,2725,48727,False,False,False,False,False,False,False
0,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,61,1,1,5789,30568,True,False,False,False,False,True,False
0,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,27,1,0,2915,41713,False,False,False,False,False,True,False
0,1,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0,36,1,0,5974,38415,False,False,False,True,True,False,False
0,0,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,20,0,0,3022,46960,False,False,False,False,False,False,True
1,1,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0,69,1,0,5309,49431,True,False,False,True,True,False,False
1,1,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,79,1,0,4449,58218,True,False,False,False,True,False,False
0,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0,46,1,0,3213,27799,False,False,True,False,False,False,True
0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,35,0,0,5526,32901,False,True,False,False,False,False,False
1,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,71,0,0,3144,56709,False,False,False,False,False,False,False
0,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0,60,1,0,5915,32562,True,False,False,True,False,False,False
0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,56,0,3,2454,29310,True,False,False,False,False,True,False
0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0,19,0,0,3395,9805,True,False,False,False,True,False,False
0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,51,0,1,2941,27866,True,False,False,False,False,True,False
0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,48,0,2,5674,64672,True,False,False,False,False,False,False
0,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0,53,1,0,2392,44764,False,False,True,False,False,False,True
0,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,0,52,1,0,4715,87383,False,False,False,True,True,False,False
0,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,0,28,1,0,3646,39334,False,True,True,False,False,False,True
0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,0,36,0,0,4595,49839,False,False,False,True,True,False,False
0,1,13,1,1,1,1,0,1,1,0,1,76.2,981.45,0,42,1,0,2569,47107,False,False,False,False,False,True,False
0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,0,49,0,0,6434,21739,True,False,False,False,False,True,False
0,0,2,1,0,0,1,0,0,0,0,0,49.25,97.0,0,22,0,0,3805,33523,False,False,False,False,False,False,True
0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,1,32,0,2,5586,8115,True,False,False,False,False,True,False
0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,0,23,0,0,4142,44004,False,False,False,True,True,False,False
0,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,0,64,1,0,5128,3642,False,False,False,True,True,False,False
1,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,0,65,0,0,2223,38128,True,False,False,False,False,True,False
0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,1,34,0,1,2966,24511,True,False,False,False,True,False,False
1,1,25,1,1,1,0,0,1,1,0,1,69.5,1752.65,0,65,1,0,3154,29299,False,False,False,False,True,False,False
1,1,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,74,1,1,5302,55668,True,False,False,False,True,False,False
1,1,60,1,0,1,1,1,1,0,1,1,74.85,4456.35,0,72,1,0,5153,24505,False,False,True,False,True,False,False
1,0,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,71,0,3,3179,47534,True,False,False,False,False,True,False
0,1,63,1,1,1,0,0,0,1,1,1,99.65,6311.2,0,44,1,0,4572,55204,True,False,True,False,True,False,False
1,1,66,1,1,0,1,1,1,1,1,1,108.45,7076.35,0,77,1,0,4582,2527,True,False,True,False,False,True,False
0,1,34,1,1,0,0,0,0,0,0,0,24.95,894.3,0,61,1,0,5408,21728,False,True,False,True,True,False,False
0,0,72,1,1,0,0,1,1,1,1,1,107.5,7853.7,0,40,0,0,4708,20408,True,False,False,True,True,False,False
0,1,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,0,34,1,0,4488,21,True,False,False,False,False,True,False
